gene	avg_logFC	p_val_adj	tissue	cell_type	hgnc_symbol	entrezgene_description	chromosome_name	start_position	end_position
ENSG00000035862	0.956208954	1.24e-16	CN	OD	TIMP2	TIMP metallopeptidase inhibitor 2	17	78852977	78925387
ENSG00000035862	1.409998215	3.16e-07	CN	OPC	TIMP2	TIMP metallopeptidase inhibitor 2	17	78852977	78925387
ENSG00000038358	-1.380631454	2.08e-67	AC	Ex	EDC4	enhancer of mRNA decapping 4	16	67873052	67884499
ENSG00000038382	0.902148476	8.41e-92	AC	Ex	TRIO	trio Rho guanine nucleotide exchange factor	5	14143342	14532128
ENSG00000038382	1.087808346	8.09e-21	CN	OD	TRIO	trio Rho guanine nucleotide exchange factor	5	14143342	14532128
ENSG00000038382	1.5473558	4.99e-08	CN	OPC	TRIO	trio Rho guanine nucleotide exchange factor	5	14143342	14532128
ENSG00000038427	1.634258477	2e-61	CB	In	VCAN	versican	5	83471618	83582303
ENSG00000039319	-0.8359592	2.51e-10	CN	Neu	ZFYVE16	zinc finger FYVE-type containing 16	5	80408013	80483379
ENSG00000039523	1.012324595	2.92e-196	CN	Ast	RIPOR1	RHO family interacting cell polarization regulator 1	16	67518418	67546788
ENSG00000040933	0.890846891	8.02e-16	CN	OD	INPP4A	inositol polyphosphate-4-phosphatase type I A	2	98444854	98594390
ENSG00000040933	0.879175099	3.02e-105	CN	Ast	INPP4A	inositol polyphosphate-4-phosphatase type I A	2	98444854	98594390
ENSG00000040933	0.722614885	5.66e-09	CB	In	INPP4A	inositol polyphosphate-4-phosphatase type I A	2	98444854	98594390
ENSG00000042980	1.596153162	0.000376824	AC	MG	ADAM28	ADAM metallopeptidase domain 28	8	24294069	24359014
ENSG00000043355	1.456360543	0	CB	Neu	ZIC2	Zic family member 2	13	99981784	99986765
ENSG00000043355	0.868488594	1.98e-15	CB	In	ZIC2	Zic family member 2	13	99981784	99986765
ENSG00000046651	0.903948928	0.002535706	CN	OPC	OFD1	OFD1 centriole and centriolar satellite protein	X	13734745	13769357
ENSG00000047249	0.869493007	8.28e-92	CN	Ast	ATP6V1H	ATPase H+ transporting V1 subunit H	8	53715543	53843558
ENSG00000047365	-0.735428359	1.36e-09	CN	Neu	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	4	35948221	36244514
ENSG00000048740	0.856140127	1.33e-205	AC	Ex	CELF2	CUGBP Elav-like family member 2	10	10798397	11336675
ENSG00000049089	-0.876998983	0.000334335	CN	Neu	COL9A2	collagen type IX alpha 2 chain	1	40300489	40317813
ENSG00000049618	1.477684828	3.97e-243	AC	Ex	ARID1B	AT-rich interaction domain 1B	6	156776020	157210779
ENSG00000049618	0.915239916	1.3e-07	AC	In	ARID1B	AT-rich interaction domain 1B	6	156776020	157210779
ENSG00000049618	1.378163589	1.84e-141	AC	Ast	ARID1B	AT-rich interaction domain 1B	6	156776020	157210779
ENSG00000049618	1.178733131	2.21e-17	AC	OD	ARID1B	AT-rich interaction domain 1B	6	156776020	157210779
ENSG00000049618	0.910393929	2.41e-19	CN	OD	ARID1B	AT-rich interaction domain 1B	6	156776020	157210779
ENSG00000049618	1.178375043	1.69e-197	CN	Ast	ARID1B	AT-rich interaction domain 1B	6	156776020	157210779
ENSG00000049618	1.113620697	5.01e-41	CN	In	ARID1B	AT-rich interaction domain 1B	6	156776020	157210779
ENSG00000049618	1.333379354	7.25e-10	CN	OPC	ARID1B	AT-rich interaction domain 1B	6	156776020	157210779
ENSG00000049618	0.871984481	3.92e-273	CB	Neu	ARID1B	AT-rich interaction domain 1B	6	156776020	157210779
ENSG00000049618	1.218704469	1.87e-23	CB	In	ARID1B	AT-rich interaction domain 1B	6	156776020	157210779
ENSG00000050438	0.92931383	3.53e-108	AC	Ex	SLC4A8	solute carrier family 4 member 8	12	51391317	51515763
ENSG00000050438	0.911453803	2.97e-19	CN	OD	SLC4A8	solute carrier family 4 member 8	12	51391317	51515763
ENSG00000050438	0.886022205	3.03e-137	CN	Ast	SLC4A8	solute carrier family 4 member 8	12	51391317	51515763
ENSG00000050438	1.435879867	7.81e-31	CB	In	SLC4A8	solute carrier family 4 member 8	12	51391317	51515763
ENSG00000051523	-1.044328102	2.49e-12	CN	Ast	CYBA	cytochrome b-245 alpha chain	16	88643289	88651054
ENSG00000052795	0.785430296	3.07e-56	AC	Ex	FNIP2	folliculin interacting protein 2	4	158769026	158908050
ENSG00000053770	0.749043759	2.83e-63	CN	Ast	AP5M1	adaptor related protein complex 5 subunit mu 1	14	57268924	57298742
ENSG00000054356	0.830470907	2.33e-12	CN	OD	PTPRN	protein tyrosine phosphatase receptor type N	2	219289623	219309648
ENSG00000054356	0.955442425	8.36e-98	CN	Ast	PTPRN	protein tyrosine phosphatase receptor type N	2	219289623	219309648
ENSG00000054523	0.943870075	1.62e-102	AC	Ex	KIF1B	kinesin family member 1B	1	10210805	10381603
ENSG00000054523	0.839039079	1.64e-09	AC	In	KIF1B	kinesin family member 1B	1	10210805	10381603
ENSG00000054523	0.865023667	2.87e-16	CN	OD	KIF1B	kinesin family member 1B	1	10210805	10381603
ENSG00000054523	0.976347392	1.21e-103	CN	Ast	KIF1B	kinesin family member 1B	1	10210805	10381603
ENSG00000054523	1.159254985	0.000206995	CN	OPC	KIF1B	kinesin family member 1B	1	10210805	10381603
ENSG00000054523	0.775237323	1.5e-08	CB	In	KIF1B	kinesin family member 1B	1	10210805	10381603
ENSG00000054523	0.741013154	0.013561748	CB	OD	KIF1B	kinesin family member 1B	1	10210805	10381603
ENSG00000054793	-0.890322798	5.28e-77	AC	Ex	ATP9A	ATPase phospholipid transporting 9A (putative)	20	51596514	51768390
ENSG00000054793	-0.695033201	0.004446961	CB	In	ATP9A	ATPase phospholipid transporting 9A (putative)	20	51596514	51768390
ENSG00000055163	-0.801489722	8.2e-65	AC	Ex	CYFIP2	cytoplasmic FMR1 interacting protein 2	5	157266079	157395595
ENSG00000055163	-0.835749658	1.8e-10	CN	Ast	CYFIP2	cytoplasmic FMR1 interacting protein 2	5	157266079	157395595
ENSG00000055163	-0.713183875	0.019838855	CB	In	CYFIP2	cytoplasmic FMR1 interacting protein 2	5	157266079	157395595
ENSG00000055483	-0.802172596	2.64e-27	AC	Ex	USP36	ubiquitin specific peptidase 36	17	78787381	78841441
ENSG00000055483	-0.774988628	1.86e-05	CN	Ast	USP36	ubiquitin specific peptidase 36	17	78787381	78841441
ENSG00000055917	0.726833502	2.81e-57	AC	Ex	PUM2	pumilio RNA binding family member 2	2	20248691	20352234
ENSG00000055917	0.871043904	2.42e-14	CN	OD	PUM2	pumilio RNA binding family member 2	2	20248691	20352234
ENSG00000059588	0.939808936	3.42e-117	AC	Ex	TARBP1	TAR (HIV-1) RNA binding protein 1	1	234391313	234479179
ENSG00000059588	0.838425579	1.05e-11	CN	OD	TARBP1	TAR (HIV-1) RNA binding protein 1	1	234391313	234479179
ENSG00000059588	0.703702333	3.89e-63	CN	Ast	TARBP1	TAR (HIV-1) RNA binding protein 1	1	234391313	234479179
ENSG00000059588	0.97738553	1.02e-14	CB	In	TARBP1	TAR (HIV-1) RNA binding protein 1	1	234391313	234479179
ENSG00000060982	0.978839993	5.45e-24	CN	OD	BCAT1	branched chain amino acid transaminase 1	12	24810024	24949101
ENSG00000061337	-0.872105376	2.2e-06	CN	Ast	LZTS1	leucine zipper tumor suppressor 1	8	20246165	20303963
ENSG00000063015	-0.726222355	2.04e-15	AC	Ex	SEZ6	seizure related 6 homolog	17	28954901	29006440
ENSG00000064042	-0.702252591	0.046434634	CN	Neu	LIMCH1	LIM and calponin homology domains 1	4	41359607	41700044
ENSG00000064607	0.744328803	0.001367471	AC	In	SUGP2	SURP and G-patch domain containing 2	19	18990888	19034023
ENSG00000064787	1.148826199	1.72e-05	AC	OPC	BCAS1	breast carcinoma amplified sequence 1	20	53936777	54070594
ENSG00000064787	1.34009343	0.001908085	CN	OPC	BCAS1	breast carcinoma amplified sequence 1	20	53936777	54070594
ENSG00000065135	0.695092328	2.52e-06	CN	OD	GNAI3	G protein subunit alpha i3	1	109548615	109618324
ENSG00000065135	0.997794989	6.22e-180	CN	Ast	GNAI3	G protein subunit alpha i3	1	109548615	109618324
ENSG00000065243	-0.705418862	4.69e-24	AC	Ex	PKN2	protein kinase N2	1	88684222	88836255
ENSG00000065361	-1.094476557	1.2e-44	AC	Ex	ERBB3	erb-b2 receptor tyrosine kinase 3	12	56076799	56103505
ENSG00000065361	0.917054946	2.97e-50	CN	Neu	ERBB3	erb-b2 receptor tyrosine kinase 3	12	56076799	56103505
ENSG00000065361	0.83561152	0.001177149	CN	OPC	ERBB3	erb-b2 receptor tyrosine kinase 3	12	56076799	56103505
ENSG00000065518	1.595440195	2.11e-29	AC	OD	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	3	120596328	120602507
ENSG00000065518	0.892360374	3.65e-38	CN	In	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	3	120596328	120602507
ENSG00000065609	0.712384218	4.68e-12	CN	OD	SNAP91	synaptosome associated protein 91	6	83552880	83709691
ENSG00000065883	1.043589031	5.73e-123	AC	Ex	CDK13	cyclin dependent kinase 13	7	39950121	40099580
ENSG00000065883	0.846057763	5.83e-44	AC	Ast	CDK13	cyclin dependent kinase 13	7	39950121	40099580
ENSG00000065883	1.001035114	1.34e-108	CN	Ast	CDK13	cyclin dependent kinase 13	7	39950121	40099580
ENSG00000065883	0.963619838	1.35e-11	CB	In	CDK13	cyclin dependent kinase 13	7	39950121	40099580
ENSG00000065923	1.280040469	1.1e-28	CN	OD	SLC9A7	solute carrier family 9 member A7	X	46599251	46759118
ENSG00000065923	1.738721508	0	CN	Ast	SLC9A7	solute carrier family 9 member A7	X	46599251	46759118
ENSG00000065989	-1.141648117	3.34e-73	AC	Ex	PDE4A	phosphodiesterase 4A	19	10416773	10469630
ENSG00000066933	0.8868705	2.92e-84	CN	Ast	MYO9A	myosin IXA	15	71822291	72118577
ENSG00000067082	-1.166396682	0.047760454	AC	MG	KLF6	Kruppel like factor 6	10	3775996	3785281
ENSG00000067606	1.131994195	3.79e-131	AC	Ex	PRKCZ	protein kinase C zeta	1	2050411	2185395
ENSG00000067606	1.302441961	0	CN	Ast	PRKCZ	protein kinase C zeta	1	2050411	2185395
ENSG00000067836	-0.724011807	1.25e-17	AC	Ex	ROGDI	rogdi atypical leucine zipper	16	4796968	4802950
ENSG00000068615	0.777986286	4.79e-42	AC	Ast	REEP1	receptor accessory protein 1	2	86213993	86338083
ENSG00000068615	0.739852092	2.33e-56	CN	Ast	REEP1	receptor accessory protein 1	2	86213993	86338083
ENSG00000069275	-0.754205742	2.78e-05	CN	Neu	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1	1	205712822	205750182
ENSG00000069424	-0.753046472	4.83e-05	CN	Ast	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	1	5990927	6101193
ENSG00000069667	0.97641574	3.52e-22	CB	In	RORA	RAR related orphan receptor A	15	60488284	61229302
ENSG00000069667	1.139376242	3.72e-08	CB	Ast	RORA	RAR related orphan receptor A	15	60488284	61229302
ENSG00000070214	1.22025985	1.2e-159	AC	Ex	SLC44A1	solute carrier family 44 member 1	9	105244622	105439171
ENSG00000070214	1.142046065	9.84e-25	AC	In	SLC44A1	solute carrier family 44 member 1	9	105244622	105439171
ENSG00000070214	0.948610133	0.00028041	AC	OPC	SLC44A1	solute carrier family 44 member 1	9	105244622	105439171
ENSG00000070214	0.751488901	9.37e-74	CN	Neu	SLC44A1	solute carrier family 44 member 1	9	105244622	105439171
ENSG00000070214	0.697784439	4.37e-10	CN	OD	SLC44A1	solute carrier family 44 member 1	9	105244622	105439171
ENSG00000070214	0.743636991	8.6e-68	CN	Ast	SLC44A1	solute carrier family 44 member 1	9	105244622	105439171
ENSG00000070214	1.360975547	6.1e-11	CN	OPC	SLC44A1	solute carrier family 44 member 1	9	105244622	105439171
ENSG00000070214	0.944835141	4.55e-12	CB	OD	SLC44A1	solute carrier family 44 member 1	9	105244622	105439171
ENSG00000070413	0.693230642	4.23e-36	AC	Ast	DGCR2	DiGeorge syndrome critical region gene 2	22	19036282	19122454
ENSG00000070413	1.272817261	0.000320192	AC	OPC	DGCR2	DiGeorge syndrome critical region gene 2	22	19036282	19122454
ENSG00000070413	0.90439502	3.13e-11	CN	OD	DGCR2	DiGeorge syndrome critical region gene 2	22	19036282	19122454
ENSG00000071054	0.9911396	9.19e-13	AC	In	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	2	101696850	101894689
ENSG00000071054	1.50279005	1.07e-120	CN	Neu	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	2	101696850	101894689
ENSG00000071054	0.723855938	0.000406672	CB	OD	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	2	101696850	101894689
ENSG00000071073	1.249552427	0	CN	Ast	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	2	98619106	98731132
ENSG00000071082	1.691047534	0	AC	Ex	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	1.571816944	1.21e-15	AC	In	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	2.241853768	3.36e-84	AC	OD	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	1.655161601	2.63e-07	AC	OPC	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	2.895597897	1.06e-27	AC	MG	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	1.62887185	1.02e-47	CN	OD	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	2.155836271	0	CN	Ast	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	2.554251727	5.98e-210	CN	In	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	2.323549865	5.94e-17	CN	OPC	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	2.408752621	1.09e-09	CN	MG	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	0.83212356	1.82e-169	CB	Neu	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	1.568102069	9.78e-42	CB	In	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071082	1.502185414	6.77e-14	CB	Ast	RPL31	ribosomal protein L31	2	101002229	101024032
ENSG00000071282	1.134877473	1.09e-11	CB	In	LMCD1	LIM and cysteine rich domains 1	3	8501807	8574668
ENSG00000072071	-0.831899226	2.54e-63	AC	Ex	ADGRL1	adhesion G protein-coupled receptor L1	19	14147743	14206187
ENSG00000072071	-0.694908337	0.028087616	CB	In	ADGRL1	adhesion G protein-coupled receptor L1	19	14147743	14206187
ENSG00000072110	-0.91798426	7.34e-50	CN	Ast	ACTN1	actinin alpha 1	14	68874143	68979440
ENSG00000072182	1.748089261	1.49e-08	AC	OPC	ASIC4	acid sensing ion channel subunit family member 4	2	219514170	219538772
ENSG00000072201	0.87890334	8.51e-91	AC	Ex	LNX1	ligand of numb-protein X 1	4	53459301	53701405
ENSG00000072310	-1.234794629	1.15e-08	AC	OD	SREBF1	sterol regulatory element binding transcription factor 1	17	17810399	17837011
ENSG00000072778	0.896275585	1.94e-20	AC	OD	ACADVL	acyl-CoA dehydrogenase very long chain	17	7217125	7225266
ENSG00000072832	-0.73637254	1.48e-37	AC	Ex	CRMP1	collapsin response mediator protein 1	4	5748084	5893086
ENSG00000073670	-0.765048347	2.38e-24	AC	Ex	ADAM11	ADAM metallopeptidase domain 11	17	44758988	44781846
ENSG00000073803	0.789734825	1.58e-12	CN	OD	MAP3K13	mitogen-activated protein kinase kinase kinase 13	3	185282941	185489094
ENSG00000073910	-0.750373858	0.032752853	CB	In	FRY	FRY microtubule binding protein	13	31846713	32299125
ENSG00000074054	1.094383754	4.61e-145	AC	Ex	CLASP1	cytoplasmic linker associated protein 1	2	121337776	121649587
ENSG00000074410	-1.339450575	2.06e-65	CN	Ast	CA12	carbonic anhydrase 12	15	63321378	63381846
ENSG00000074590	-1.03256954	4.01e-109	AC	Ex	NUAK1	NUAK family kinase 1	12	106063340	106140033
ENSG00000074800	-0.748845648	2.8e-05	CB	In	ENO1	enolase 1	1	8861000	8879190
ENSG00000074935	0.719387193	6.82e-11	CN	OD	TUBE1	tubulin epsilon 1	6	112070663	112087529
ENSG00000074935	1.043204585	1.09e-10	CB	In	TUBE1	tubulin epsilon 1	6	112070663	112087529
ENSG00000075043	1.284828982	2.9e-178	AC	Ex	KCNQ2	potassium voltage-gated channel subfamily Q member 2	20	63400210	63472677
