gene	p_val	avg_logFC	pct.H	pct.O	p_val_adj	cell_type	hgnc_symbol	chromosome_name	start_position	end_position	entrezgene_description	tissue	cell
ENSG00000005108	1.67e-45	1.425255831	0.297	0.029	1.76e-41	OD	THSD7A	7	11370365	11832198	thrombospondin type 1 domain containing 7A	CN	CN OD
ENSG00000005513	1.37e-08	1.064353537	0.152	0.033	0.000150464	OPC	SOX8	16	981770	986979	SRY-box transcription factor 8	AC	AC OPC
ENSG00000005513	2.56e-14	1.558801345	0.236	0.026	2.69e-10	OPC	SOX8	16	981770	986979	SRY-box transcription factor 8	CN	CN OPC
ENSG00000006015	1.47e-34	-0.855198145	0.059	0.155	1.62e-30	Ast	REX1BD	19	18588685	18592336	required for excision 1-B domain containing	AC	AC Ast
ENSG00000006128	1.91e-14	-0.695335851	0.073	0.131	2.1e-10	Ast	TAC1	7	97732084	97740472	tachykinin precursor 1	AC	AC Ast
ENSG00000006210	1.94e-104	-1.167164016	0.131	0.416	2.13e-100	Ex	CX3CL1	16	57372477	57385044	C-X3-C motif chemokine ligand 1	AC	AC Ex
ENSG00000006432	3.39e-29	1.523423778	0.142	0.004	3.18e-25	In	MAP3K9	14	70722526	70809534	mitogen-activated protein kinase kinase kinase 9	CB	CB In
ENSG00000006740	1.28e-52	0.729601713	0.125	0.031	1.41e-48	Ex	ARHGAP44	17	12789498	12991643	Rho GTPase activating protein 44	AC	AC Ex
ENSG00000007237	0	1.699306206	0.304	0.013	0	Ex	GAS7	17	9910609	10198551	growth arrest specific 7	AC	AC Ex
ENSG00000007237	3.4e-130	1.561126724	0.158	0.004	3.75e-126	Ast	GAS7	17	9910609	10198551	growth arrest specific 7	AC	AC Ast
ENSG00000007237	3.25e-25	1.184870246	0.11	0.001	3.42e-21	OD	GAS7	17	9910609	10198551	growth arrest specific 7	CN	CN OD
ENSG00000007237	0	1.820322974	0.281	0.003	0	Ast	GAS7	17	9910609	10198551	growth arrest specific 7	CN	CN Ast
ENSG00000007237	0	1.740848176	0.106	0.001	0	Neu	GAS7	17	9910609	10198551	growth arrest specific 7	CB	CB Neu
ENSG00000007516	6.27e-76	2.112773334	0.106	0	6.6e-72	In	BAIAP3	16	1333601	1349441	BAI1 associated protein 3	CN	CN In
ENSG00000008056	3.49e-183	1.3177715	0.296	0.048	3.85e-179	Ex	SYN1	X	47571901	47619857	synapsin I	AC	AC Ex
ENSG00000008056	7.76e-110	1.260210096	0.219	0.04	8.55e-106	Ast	SYN1	X	47571901	47619857	synapsin I	AC	AC Ast
ENSG00000008056	7.71e-22	1.148670111	0.156	0.019	8.12e-18	OD	SYN1	X	47571901	47619857	synapsin I	CN	CN OD
ENSG00000008056	1.14e-117	1.071610821	0.103	0.007	1.2e-113	Ast	SYN1	X	47571901	47619857	synapsin I	CN	CN Ast
ENSG00000008086	1.34e-200	1.110826196	0.164	0.01	1.41e-196	Ast	CDKL5	X	18425583	18653629	cyclin dependent kinase like 5	CN	CN Ast
ENSG00000008294	0.071352912	-0.699788842	0.1	0.133	1	OPC	SPAG9	17	50962174	51120868	sperm associated antigen 9	AC	AC OPC
ENSG00000008311	1.1e-28	-1.367184724	0.052	0.161	1.15e-24	In	AASS	7	122073549	122144255	aminoadipate-semialdehyde synthase	CN	CN In
ENSG00000008311	0.080320139	-1.287539276	0.055	0.104	1	OPC	AASS	7	122073549	122144255	aminoadipate-semialdehyde synthase	CN	CN OPC
ENSG00000010244	3.27e-73	0.753084512	0.206	0.059	3.6e-69	Ex	ZNF207	17	32350117	32381886	zinc finger protein 207	AC	AC Ex
ENSG00000010244	1.57e-14	1.324676475	0.112	0.013	1.73e-10	In	ZNF207	17	32350117	32381886	zinc finger protein 207	AC	AC In
ENSG00000010244	8.07e-46	0.788013642	0.13	0.036	8.88e-42	Ast	ZNF207	17	32350117	32381886	zinc finger protein 207	AC	AC Ast
ENSG00000010244	3.9e-36	1.222157002	0.272	0.036	4.1e-32	OD	ZNF207	17	32350117	32381886	zinc finger protein 207	CN	CN OD
ENSG00000010244	4.55e-202	1.226789053	0.285	0.037	4.79e-198	Ast	ZNF207	17	32350117	32381886	zinc finger protein 207	CN	CN Ast
ENSG00000010244	1.99e-08	1.088696103	0.145	0.019	0.00020932	OPC	ZNF207	17	32350117	32381886	zinc finger protein 207	CN	CN OPC
ENSG00000010244	0	1.593994714	0.159	0.015	0	Neu	ZNF207	17	32350117	32381886	zinc finger protein 207	CB	CB Neu
ENSG00000010244	1.63e-29	1.227224688	0.215	0.039	1.52e-25	In	ZNF207	17	32350117	32381886	zinc finger protein 207	CB	CB In
ENSG00000010244	4.44e-15	1.544415552	0.131	0.01	4.16e-11	Ast	ZNF207	17	32350117	32381886	zinc finger protein 207	CB	CB Ast
ENSG00000010244	8.24e-17	1.593282865	0.177	0.016	7.72e-13	OD	ZNF207	17	32350117	32381886	zinc finger protein 207	CB	CB OD
ENSG00000010256	1.05e-05	-0.693293368	0.081	0.141	0.098800177	In	UQCRC1	3	48599002	48610976	ubiquinol-cytochrome c reductase core protein 1	CB	CB In
ENSG00000010278	2.62e-11	-0.704286369	0.194	0.262	2.76e-07	Neu	CD9	12	6199715	6238271	CD9 molecule	CN	CN Neu
ENSG00000010278	0.412745864	-0.910696026	0.136	0.149	1	OPC	CD9	12	6199715	6238271	CD9 molecule	CN	CN OPC
ENSG00000010282	4.16e-76	1.52062248	0.141	0.021	4.38e-72	Neu	HHATL	3	42692663	42702824	hedgehog acyltransferase like	CN	CN Neu
ENSG00000010327	1.28e-05	1.170330045	0.195	0.071	0.134593781	MG	STAB1	3	52495338	52524495	stabilin 1	CN	CN MG
ENSG00000010810	2.76e-34	1.119229764	0.276	0.073	3.03e-30	OD	FYN	6	111660332	111873452	FYN proto-oncogene, Src family tyrosine kinase	AC	AC OD
ENSG00000010818	4.16e-41	-0.819406626	0.104	0.254	4.59e-37	Ex	HIVEP2	6	142751469	142956698	human immunodeficiency virus type I enhancer binding protein 2	AC	AC Ex
ENSG00000010818	4.57e-11	-0.765547242	0.099	0.178	4.81e-07	Ast	HIVEP2	6	142751469	142956698	human immunodeficiency virus type I enhancer binding protein 2	CN	CN Ast
ENSG00000011052	6.54e-137	-1.872140845	0	0.293	7.2e-133	Ex	NME1-NME2	17	51153590	51171744	NME1-NME2 readthrough	AC	AC Ex
ENSG00000011052	1.61e-135	-1.876869409	0	0.198	1.77e-131	Ast	NME1-NME2	17	51153590	51171744	NME1-NME2 readthrough	AC	AC Ast
ENSG00000011052	5.33e-18	-1.947427637	0	0.197	5.61e-14	OD	NME1-NME2	17	51153590	51171744	NME1-NME2 readthrough	CN	CN OD
ENSG00000011052	7.07e-63	-2.17607455	0	0.253	7.44e-59	Ast	NME1-NME2	17	51153590	51171744	NME1-NME2 readthrough	CN	CN Ast
ENSG00000011052	9.3e-36	-1.738398928	0	0.145	8.72e-32	In	NME1-NME2	17	51153590	51171744	NME1-NME2 readthrough	CB	CB In
ENSG00000011052	1.22e-06	-1.823019664	0	0.116	0.011466724	OD	NME1-NME2	17	51153590	51171744	NME1-NME2 readthrough	CB	CB OD
ENSG00000011083	4.79e-51	-1.002636551	0.094	0.263	5.27e-47	Ex	SLC6A7	5	150190062	150222788	solute carrier family 6 member 7	AC	AC Ex
ENSG00000011295	7.14e-19	0.802469484	0.171	0.03	7.52e-15	OD	TTC19	17	15999784	16045015	tetratricopeptide repeat domain 19	CN	CN OD
ENSG00000011295	1.13e-90	0.812779716	0.173	0.03	1.19e-86	Ast	TTC19	17	15999784	16045015	tetratricopeptide repeat domain 19	CN	CN Ast
ENSG00000011347	4.4e-150	-1.046459669	0.327	0.645	4.85e-146	Ex	SYT7	11	61515313	61581148	synaptotagmin 7	AC	AC Ex
ENSG00000011347	4.05e-47	-0.897080231	0.07	0.196	4.46e-43	Ast	SYT7	11	61515313	61581148	synaptotagmin 7	AC	AC Ast
ENSG00000011347	2.35e-07	-0.71364471	0.152	0.205	0.002473406	Ast	SYT7	11	61515313	61581148	synaptotagmin 7	CN	CN Ast
ENSG00000011347	4.39e-19	-1.12252558	0.082	0.22	4.12e-15	In	SYT7	11	61515313	61581148	synaptotagmin 7	CB	CB In
ENSG00000011422	3.65e-06	-1.813647254	0.009	0.11	0.038448477	MG	PLAUR	19	43646095	43670547	plasminogen activator, urokinase receptor	CN	CN MG
ENSG00000011426	1.97e-35	0.772897051	0.129	0.037	2.08e-31	Neu	ANLN	7	36389821	36453791	anillin actin binding protein	CN	CN Neu
ENSG00000012124	8.78e-13	1.1834642	0.109	0.015	9.66e-09	In	CD22	19	35319261	35347361	CD22 molecule	AC	AC In
ENSG00000012124	3.91e-64	1.409766633	0.102	0.012	4.11e-60	Neu	CD22	19	35319261	35347361	CD22 molecule	CN	CN Neu
ENSG00000013441	2.76e-08	1.09954301	0.134	0.026	0.000304149	OPC	CLK1	2	200853009	200864744	CDC like kinase 1	AC	AC OPC
ENSG00000013441	0.002447114	0.77438591	0.113	0.044	1	MG	CLK1	2	200853009	200864744	CDC like kinase 1	AC	AC MG
ENSG00000013441	4.05e-87	1.326236574	0.171	0.027	4.27e-83	Neu	CLK1	2	200853009	200864744	CDC like kinase 1	CN	CN Neu
ENSG00000013441	3.14e-08	1.031096657	0.164	0.026	0.000330973	OPC	CLK1	2	200853009	200864744	CDC like kinase 1	CN	CN OPC
ENSG00000013441	8.63e-05	0.796947335	0.124	0.044	0.809278025	OD	CLK1	2	200853009	200864744	CDC like kinase 1	CB	CB OD
ENSG00000014641	9.4e-133	0.704311421	0.11	0.045	8.81e-129	Neu	MDH1	2	63588609	63607197	malate dehydrogenase 1	CB	CB Neu
ENSG00000015133	1.6e-16	-0.758703654	0.173	0.28	1.68e-12	Ast	CCDC88C	14	91271323	91417844	coiled-coil domain containing 88C	CN	CN Ast
ENSG00000015592	7.44e-23	-1.602896134	0.115	0.389	8.19e-19	In	STMN4	8	27235323	27258420	stathmin 4	AC	AC In
ENSG00000015592	1.86e-24	-0.937418663	0.18	0.302	1.95e-20	Neu	STMN4	8	27235323	27258420	stathmin 4	CN	CN Neu
ENSG00000015592	0.002827052	-0.707152083	0.104	0.164	1	OD	STMN4	8	27235323	27258420	stathmin 4	CN	CN OD
ENSG00000015592	6.29e-15	-1.490039101	0.177	0.471	5.9e-11	OD	STMN4	8	27235323	27258420	stathmin 4	CB	CB OD
ENSG00000017427	6.45e-46	0.788569214	0.132	0.037	7.1e-42	Ast	IGF1	12	102395874	102481744	insulin like growth factor 1	AC	AC Ast
ENSG00000019505	2.42e-09	-0.717633806	0.048	0.122	2.27e-05	In	SYT13	11	45240302	45286341	synaptotagmin 13	CB	CB In
ENSG00000021645	6.45e-171	1.471758276	0.304	0.05	7.1e-167	Ast	NRXN3	14	78170373	79868290	neurexin 3	AC	AC Ast
ENSG00000021645	2.09e-40	1.40288415	0.266	0.026	2.2e-36	OD	NRXN3	14	78170373	79868290	neurexin 3	CN	CN OD
ENSG00000021645	0	1.176458944	0.176	0.042	0	Neu	NRXN3	14	78170373	79868290	neurexin 3	CB	CB Neu
ENSG00000021645	3.43e-17	0.714197457	0.201	0.066	3.22e-13	In	NRXN3	14	78170373	79868290	neurexin 3	CB	CB In
ENSG00000021645	2.38e-13	1.498349852	0.108	0.004	2.23e-09	OD	NRXN3	14	78170373	79868290	neurexin 3	CB	CB OD
ENSG00000022355	1.75e-46	0.706943219	0.23	0.099	1.93e-42	Ex	GABRA1	5	161847063	161899981	gamma-aminobutyric acid type A receptor alpha1 subunit	AC	AC Ex
ENSG00000022355	2.74e-74	0.780456924	0.307	0.122	3.01e-70	Ast	GABRA1	5	161847063	161899981	gamma-aminobutyric acid type A receptor alpha1 subunit	AC	AC Ast
ENSG00000023171	1.89e-141	1.042527261	0.14	0.006	2.08e-137	Ex	GRAMD1B	11	123358428	123627774	GRAM domain containing 1B	AC	AC Ex
ENSG00000023171	7.17e-35	1.656295959	0.167	0.004	6.73e-31	In	GRAMD1B	11	123358428	123627774	GRAM domain containing 1B	CB	CB In
ENSG00000023228	3.73e-20	0.939365861	0.128	0.012	3.93e-16	OD	NDUFS1	2	206114817	206159509	NADH:ubiquinone oxidoreductase core subunit S1	CN	CN OD
ENSG00000023228	6.76e-100	0.735100198	0.126	0.014	7.11e-96	Ast	NDUFS1	2	206114817	206159509	NADH:ubiquinone oxidoreductase core subunit S1	CN	CN Ast
ENSG00000023734	7.12e-86	0.866801197	0.103	0.009	7.84e-82	Ex	STRAP	12	15882387	15903478	serine/threonine kinase receptor associated protein	AC	AC Ex
ENSG00000023902	0.000793711	-0.815406474	0.07	0.155	1	MG	PLEKHO1	1	150149183	150164720	pleckstrin homology domain containing O1	AC	AC MG
ENSG00000025708	0.001692916	1.162234878	0.113	0.042	1	MG	TYMP	22	50525752	50530032	thymidine phosphorylase	CN	CN MG
ENSG00000025800	4.89e-77	0.72571731	0.162	0.035	5.38e-73	Ex	KPNA6	1	32108056	32176563	karyopherin subunit alpha 6	AC	AC Ex
ENSG00000025800	1.89e-18	0.921967283	0.135	0.017	1.99e-14	OD	KPNA6	1	32108056	32176563	karyopherin subunit alpha 6	CN	CN OD
ENSG00000026297	4.92e-14	0.923638382	0.537	0.214	5.42e-10	MG	RNASET2	6	166929504	166957191	ribonuclease T2	AC	AC MG
ENSG00000026297	9.04e-17	1.405299742	0.455	0.138	9.52e-13	MG	RNASET2	6	166929504	166957191	ribonuclease T2	CN	CN MG
ENSG00000026652	1.57e-17	1.518173002	0.103	0.005	1.72e-13	In	AGPAT4	6	161129967	161274061	1-acylglycerol-3-phosphate O-acyltransferase 4	AC	AC In
ENSG00000027697	0.002123583	0.74640257	0.116	0.044	1	MG	IFNGR1	6	137197484	137219449	interferon gamma receptor 1	AC	AC MG
ENSG00000027697	0.000884171	0.945858649	0.121	0.042	1	MG	IFNGR1	6	137197484	137219449	interferon gamma receptor 1	CN	CN MG
ENSG00000028137	3.57e-19	-1.79681798	0.079	0.369	3.93e-15	MG	TNFRSF1B	1	12166991	12209228	TNF receptor superfamily member 1B	AC	AC MG
ENSG00000028137	9.16e-05	-1.050897133	0.056	0.166	0.963920713	MG	TNFRSF1B	1	12166991	12209228	TNF receptor superfamily member 1B	CN	CN MG
ENSG00000028277	1.65e-11	1.674436492	0.226	0.028	1.82e-07	MG	POU2F2	19	42086110	42196585	POU class 2 homeobox 2	AC	AC MG
ENSG00000032219	9.01e-05	-0.961760872	0.027	0.107	0.991759569	MG	ARID4A	14	58298504	58373887	AT-rich interaction domain 4A	AC	AC MG
ENSG00000033122	1.33e-09	0.721364435	0.104	0.024	1.4e-05	OD	LRRC7	1	69568261	70151945	leucine rich repeat containing 7	CN	CN OD
ENSG00000035115	3.67e-156	1.062932524	0.201	0.023	3.86e-152	Ast	SH3YL1	2	217730	266398	SH3 and SYLF domain containing 1	CN	CN Ast
ENSG00000035862	1.4e-68	0.864368362	0.177	0.044	1.54e-64	Ast	TIMP2	17	78852977	78925387	TIMP metallopeptidase inhibitor 2	AC	AC Ast
ENSG00000035862	1.18e-20	0.956208954	0.217	0.046	1.24e-16	OD	TIMP2	17	78852977	78925387	TIMP metallopeptidase inhibitor 2	CN	CN OD
ENSG00000035862	3e-11	1.409998215	0.136	0.007	3.16e-07	OPC	TIMP2	17	78852977	78925387	TIMP metallopeptidase inhibitor 2	CN	CN OPC
ENSG00000038358	1.89e-71	-1.380631454	0.001	0.169	2.08e-67	Ex	EDC4	16	67873052	67884499	enhancer of mRNA decapping 4	AC	AC Ex
ENSG00000038382	7.64e-96	0.902148476	0.153	0.023	8.41e-92	Ex	TRIO	5	14143342	14532128	trio Rho guanine nucleotide exchange factor	AC	AC Ex
ENSG00000038382	7.69e-25	1.087808346	0.113	0.002	8.09e-21	OD	TRIO	5	14143342	14532128	trio Rho guanine nucleotide exchange factor	CN	CN OD
ENSG00000038382	4.74e-12	1.5473558	0.155	0.009	4.99e-08	OPC	TRIO	5	14143342	14532128	trio Rho guanine nucleotide exchange factor	CN	CN OPC
ENSG00000038427	0.006674877	-0.743319363	0.518	0.483	1	OPC	VCAN	5	83471618	83582303	versican	CN	CN OPC
ENSG00000038427	2.14e-65	1.634258477	0.424	0.086	2e-61	In	VCAN	5	83471618	83582303	versican	CB	CB In
ENSG00000038945	4.69e-06	-1.154996508	0.03	0.131	0.051687021	MG	MSR1	8	16107878	16567490	macrophage scavenger receptor 1	AC	AC MG
ENSG00000039319	2.38e-14	-0.8359592	0.205	0.281	2.51e-10	Neu	ZFYVE16	5	80408013	80483379	zinc finger FYVE-type containing 16	CN	CN Neu
ENSG00000039523	2.78e-200	1.012324595	0.126	0.004	2.92e-196	Ast	RIPOR1	16	67518418	67546788	RHO family interacting cell polarization regulator 1	CN	CN Ast
ENSG00000040933	7.62e-20	0.890846891	0.147	0.019	8.02e-16	OD	INPP4A	2	98444854	98594390	inositol polyphosphate-4-phosphatase type I A	CN	CN OD
ENSG00000040933	2.87e-109	0.879175099	0.161	0.022	3.02e-105	Ast	INPP4A	2	98444854	98594390	inositol polyphosphate-4-phosphatase type I A	CN	CN Ast
ENSG00000040933	6.04e-13	0.722614885	0.125	0.033	5.66e-09	In	INPP4A	2	98444854	98594390	inositol polyphosphate-4-phosphatase type I A	CB	CB In
ENSG00000042980	3.42e-08	1.596153162	0.149	0.016	0.000376824	MG	ADAM28	8	24294069	24359014	ADAM metallopeptidase domain 28	AC	AC MG
ENSG00000043355	0	1.456360543	0.143	0.017	0	Neu	ZIC2	13	99981784	99986765	Zic family member 2	CB	CB Neu
ENSG00000043355	2.11e-19	0.868488594	0.171	0.04	1.98e-15	In	ZIC2	13	99981784	99986765	Zic family member 2	CB	CB In
ENSG00000046651	2.41e-07	0.903948928	0.118	0.014	0.002535706	OPC	OFD1	X	13734745	13769357	OFD1 centriole and centriolar satellite protein	CN	CN OPC
ENSG00000047249	7.87e-96	0.869493007	0.294	0.076	8.28e-92	Ast	ATP6V1H	8	53715543	53843558	ATPase H+ transporting V1 subunit H	CN	CN Ast
ENSG00000047365	2e-05	-1.049959415	0.094	0.182	0.22007657	In	ARAP2	4	35948221	36244514	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	AC	AC In
ENSG00000047365	1.29e-13	-0.735428359	0.206	0.284	1.36e-09	Neu	ARAP2	4	35948221	36244514	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	CN	CN Neu
ENSG00000048740	1.21e-209	0.856140127	0.712	0.267	1.33e-205	Ex	CELF2	10	10798397	11336675	CUGBP Elav-like family member 2	AC	AC Ex
ENSG00000049089	3.18e-08	-0.876998983	0.058	0.107	0.000334335	Neu	COL9A2	1	40300489	40317813	collagen type IX alpha 2 chain	CN	CN Neu
ENSG00000049089	0.198396529	-0.929694075	0.109	0.144	1	OPC	COL9A2	1	40300489	40317813	collagen type IX alpha 2 chain	CN	CN OPC
ENSG00000049618	3.6e-247	1.477684828	0.332	0.043	3.97e-243	Ex	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	AC	AC Ex
ENSG00000049618	1.18e-11	0.915239916	0.121	0.023	1.3e-07	In	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	AC	AC In
ENSG00000049618	1.67e-145	1.378163589	0.246	0.034	1.84e-141	Ast	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	AC	AC Ast
ENSG00000049618	2e-21	1.178733131	0.114	0.012	2.21e-17	OD	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	AC	AC OD
ENSG00000049618	0.000282794	0.901690203	0.101	0.024	1	MG	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	AC	AC MG
ENSG00000049618	2.29e-23	0.910393929	0.287	0.071	2.41e-19	OD	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	CN	CN OD
ENSG00000049618	1.6e-201	1.178375043	0.405	0.076	1.69e-197	Ast	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	CN	CN Ast
ENSG00000049618	4.76e-45	1.113620697	0.118	0.02	5.01e-41	In	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	CN	CN In
ENSG00000049618	6.89e-14	1.333379354	0.218	0.021	7.25e-10	OPC	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	CN	CN OPC
ENSG00000049618	4.18e-277	0.871984481	0.136	0.034	3.92e-273	Neu	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	CB	CB Neu
ENSG00000049618	1.99e-27	1.218704469	0.209	0.041	1.87e-23	In	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	CB	CB In
ENSG00000049618	1.84e-05	0.708919852	0.129	0.04	0.172770067	OD	ARID1B	6	156776020	157210779	AT-rich interaction domain 1B	CB	CB OD
ENSG00000050438	3.21e-112	0.92931383	0.163	0.021	3.53e-108	Ex	SLC4A8	12	51391317	51515763	solute carrier family 4 member 8	AC	AC Ex
ENSG00000050438	2.83e-23	0.911453803	0.153	0.015	2.97e-19	OD	SLC4A8	12	51391317	51515763	solute carrier family 4 member 8	CN	CN OD
ENSG00000050438	2.88e-141	0.886022205	0.124	0.009	3.03e-137	Ast	SLC4A8	12	51391317	51515763	solute carrier family 4 member 8	CN	CN Ast
ENSG00000050438	8.33e-35	1.435879867	0.226	0.033	7.81e-31	In	SLC4A8	12	51391317	51515763	solute carrier family 4 member 8	CB	CB In
ENSG00000051108	0.020379998	0.71262551	0.108	0.053	1	MG	HERPUD1	16	56932142	56944864	homocysteine inducible ER protein with ubiquitin like domain 1	CN	CN MG
ENSG00000051523	2.37e-16	-1.044328102	0.021	0.107	2.49e-12	Ast	CYBA	16	88643289	88651054	cytochrome b-245 alpha chain	CN	CN Ast
ENSG00000052795	2.79e-60	0.785430296	0.18	0.054	3.07e-56	Ex	FNIP2	4	158769026	158908050	folliculin interacting protein 2	AC	AC Ex
ENSG00000052795	0.003479154	-1.007273887	0.039	0.106	1	MG	FNIP2	4	158769026	158908050	folliculin interacting protein 2	CN	CN MG
ENSG00000053770	2.69e-67	0.749043759	0.112	0.017	2.83e-63	Ast	AP5M1	14	57268924	57298742	adaptor related protein complex 5 subunit mu 1	CN	CN Ast
ENSG00000054356	2.21e-16	0.830470907	0.177	0.039	2.33e-12	OD	PTPRN	2	219289623	219309648	protein tyrosine phosphatase receptor type N	CN	CN OD
ENSG00000054356	7.94e-102	0.955442425	0.17	0.026	8.36e-98	Ast	PTPRN	2	219289623	219309648	protein tyrosine phosphatase receptor type N	CN	CN Ast
ENSG00000054523	1.47e-106	0.943870075	0.251	0.063	1.62e-102	Ex	KIF1B	1	10210805	10381603	kinesin family member 1B	AC	AC Ex
ENSG00000054523	1.49e-13	0.839039079	0.168	0.038	1.64e-09	In	KIF1B	1	10210805	10381603	kinesin family member 1B	AC	AC In
ENSG00000054523	2.73e-20	0.865023667	0.245	0.06	2.87e-16	OD	KIF1B	1	10210805	10381603	kinesin family member 1B	CN	CN OD
ENSG00000054523	1.15e-107	0.976347392	0.271	0.06	1.21e-103	Ast	KIF1B	1	10210805	10381603	kinesin family member 1B	CN	CN Ast
ENSG00000054523	1.97e-08	1.159254985	0.145	0.019	0.000206995	OPC	KIF1B	1	10210805	10381603	kinesin family member 1B	CN	CN OPC
ENSG00000054523	1.6e-12	0.775237323	0.142	0.046	1.5e-08	In	KIF1B	1	10210805	10381603	kinesin family member 1B	CB	CB In
ENSG00000054523	1.45e-06	0.741013154	0.161	0.051	0.013561748	OD	KIF1B	1	10210805	10381603	kinesin family member 1B	CB	CB OD
ENSG00000054793	4.79e-81	-0.890322798	0.208	0.456	5.28e-77	Ex	ATP9A	20	51596514	51768390	ATPase phospholipid transporting 9A (putative)	AC	AC Ex
ENSG00000054793	4.74e-07	-0.695033201	0.089	0.163	0.004446961	In	ATP9A	20	51596514	51768390	ATPase phospholipid transporting 9A (putative)	CB	CB In
ENSG00000055163	7.45e-69	-0.801489722	0.229	0.458	8.2e-65	Ex	CYFIP2	5	157266079	157395595	cytoplasmic FMR1 interacting protein 2	AC	AC Ex
ENSG00000055163	1.71e-14	-0.835749658	0.144	0.239	1.8e-10	Ast	CYFIP2	5	157266079	157395595	cytoplasmic FMR1 interacting protein 2	CN	CN Ast
ENSG00000055163	2.12e-06	-0.713183875	0.123	0.197	0.019838855	In	CYFIP2	5	157266079	157395595	cytoplasmic FMR1 interacting protein 2	CB	CB In
ENSG00000055483	2.4e-31	-0.802172596	0.069	0.185	2.64e-27	Ex	USP36	17	78787381	78841441	ubiquitin specific peptidase 36	AC	AC Ex
ENSG00000055483	0.000288504	-0.984416742	0.03	0.103	1	MG	USP36	17	78787381	78841441	ubiquitin specific peptidase 36	AC	AC MG
ENSG00000055483	1.77e-09	-0.774988628	0.076	0.143	1.86e-05	Ast	USP36	17	78787381	78841441	ubiquitin specific peptidase 36	CN	CN Ast
ENSG00000055917	2.55e-61	0.726833502	0.112	0.02	2.81e-57	Ex	PUM2	2	20248691	20352234	pumilio RNA binding family member 2	AC	AC Ex
ENSG00000055917	2.3e-18	0.871043904	0.138	0.018	2.42e-14	OD	PUM2	2	20248691	20352234	pumilio RNA binding family member 2	CN	CN OD
